id,question_stem,choices,answerKey,inference_prompt,generated_response,predicted_label
1195,The celestial object closest to Earth is,"A) Mercury and Venus are equally closest
B) the object the Earth orbits
C) the third planet from the Sun
D) the large object that illuminates a night sky
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
The celestial object closest to Earth is

### Choices: 
A) Mercury and Venus are equally closest
B) the object the Earth orbits
C) the third planet from the Sun
D) the large object that illuminates a night sky

### Answer: ","
C",C
1588,Bugs are sometimes eaten by,"A) blue jays
B) whales
C) elephants
D) aphids
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Bugs are sometimes eaten by

### Choices: 
A) blue jays
B) whales
C) elephants
D) aphids

### Answer: ","
C",C
7-745,"When a microscope magnifies, it is","A) enlarging
B) enabling
C) viewing
D) observing
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
When a microscope magnifies, it is

### Choices: 
A) enlarging
B) enabling
C) viewing
D) observing

### Answer: ","
C",C
246,The property of fur that is a result of the way that it reflects or emits light is,"A) an inherited characteristic
B) a fabricated characteristic
C) a manufacturing characteristic
D) an age characteristic
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
The property of fur that is a result of the way that it reflects or emits light is

### Choices: 
A) an inherited characteristic
B) a fabricated characteristic
C) a manufacturing characteristic
D) an age characteristic

### Answer: ","
C",C
579,What body covering does the animal that clucks have?,"A) Skin
B) Feathers
C) Scales
D) Fur
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What body covering does the animal that clucks have?

### Choices: 
A) Skin
B) Feathers
C) Scales
D) Fur

### Answer: ","
C",C
148,What location that had a disaster in 2017 was caused by heavy rains?,"A) San Francisco
B) Houston
C) Mexico City
D) Tokyo
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What location that had a disaster in 2017 was caused by heavy rains?

### Choices: 
A) San Francisco
B) Houston
C) Mexico City
D) Tokyo

### Answer: ","
C",C
7-705,Something that died millions of years ago can still be relevant,"A) because we drive cars
B) because they are in our memories
C) because we still see them
D) because we miss them
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Something that died millions of years ago can still be relevant

### Choices: 
A) because we drive cars
B) because they are in our memories
C) because we still see them
D) because we miss them

### Answer: ","
C",C
1062,Decomposition results in the production of which element?,"A) Silicon
B) Phosphorus
C) Carbon
D) Hydrogen
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Decomposition results in the production of which element?

### Choices: 
A) Silicon
B) Phosphorus
C) Carbon
D) Hydrogen

### Answer: ","
C",C
1792,"At high elevations, there is little risk of flooding, but at low elevations, what will happen?","A) water damage will be more apparent
B) flood damage will be decreased
C) flooding will be less of a risk
D) more floodwater will be clean
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
At high elevations, there is little risk of flooding, but at low elevations, what will happen?

### Choices: 
A) water damage will be more apparent
B) flood damage will be decreased
C) flooding will be less of a risk
D) more floodwater will be clean

### Answer: ","
C",C
8-474,"A boy is lost in a heavily forested area, and the only help he has is a small compass. He knows that his house is to the south of him, but in the direction he is facing, the arrow on the compass is showing that he is currently walking due north. Therefore, the boy","A) turns right
B) turns left
C) turns around
D) keeps straight
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A boy is lost in a heavily forested area, and the only help he has is a small compass. He knows that his house is to the south of him, but in the direction he is facing, the arrow on the compass is showing that he is currently walking due north. Therefore, the boy

### Choices: 
A) turns right
B) turns left
C) turns around
D) keeps straight

### Answer: ","
C",C
9-415,"if you see little wet spots on your windshield, what might have happened?","A) the sun is setting
B) vapor transformed into droplets
C) the moon is rising
D) the windshield is dissolving
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
if you see little wet spots on your windshield, what might have happened?

### Choices: 
A) the sun is setting
B) vapor transformed into droplets
C) the moon is rising
D) the windshield is dissolving

### Answer: ","
D",D
9-1028,"A kangaroo can have multiple babies at various stages of life at the same time. These joeys can show remarkable instincts, in that they","A) hallucinate
B) nurse
C) scream
D) are born
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A kangaroo can have multiple babies at various stages of life at the same time. These joeys can show remarkable instincts, in that they

### Choices: 
A) hallucinate
B) nurse
C) scream
D) are born

### Answer: ","
C",C
8-416,"Tungsten is a metal which is found in large amounts in filaments, which are used in incandescent light bulbs. These light bulbs work because","A) light bulbs get very warm
B) filaments are able to freeze
C) the filament glows warmly
D) the filament catches fire
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Tungsten is a metal which is found in large amounts in filaments, which are used in incandescent light bulbs. These light bulbs work because

### Choices: 
A) light bulbs get very warm
B) filaments are able to freeze
C) the filament glows warmly
D) the filament catches fire

### Answer: ","
C",C
7-1037,When the digestive system is working,"A) it is bad to eat
B) it is dismantling nutrients
C) food is cleared out
D) it is time for dinner
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
When the digestive system is working

### Choices: 
A) it is bad to eat
B) it is dismantling nutrients
C) food is cleared out
D) it is time for dinner

### Answer: ","
C",C
7-1110,"A dog can learn how to do something that it is taught to do, called learned behavior, such as","A) eat food when it is hungry
B) lean back and accept having nails trimmed
C) bark when it wants to
D) urinate when its bladder is full
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A dog can learn how to do something that it is taught to do, called learned behavior, such as

### Choices: 
A) eat food when it is hungry
B) lean back and accept having nails trimmed
C) bark when it wants to
D) urinate when its bladder is full

### Answer: ","
B",B
9-9,Using a menstrual cup instead of pads or tampons can help avoid,"A) pills
B) waste
C) blood
D) flu
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Using a menstrual cup instead of pads or tampons can help avoid

### Choices: 
A) pills
B) waste
C) blood
D) flu

### Answer: ","
B",B
1689,To prevent electric shock,"A) masonry will come in handy
B) use all copper wire
C) aluminum should be useful
D) use all silver fillings
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
To prevent electric shock

### Choices: 
A) masonry will come in handy
B) use all copper wire
C) aluminum should be useful
D) use all silver fillings

### Answer: ","
C",C
9-1106,What can can cause more harm then good when used?,"A) hiking boots
B) hybrid cars
C) anti bacteria soap
D) bike
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What can can cause more harm then good when used?

### Choices: 
A) hiking boots
B) hybrid cars
C) anti bacteria soap
D) bike

### Answer: ","
C",C
681,"If you fly from Europe to Australia in December, when you arrive you will most likely want to wear:","A) heavy coat
B) mittens
C) shorts
D) ski mask
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
If you fly from Europe to Australia in December, when you arrive you will most likely want to wear:

### Choices: 
A) heavy coat
B) mittens
C) shorts
D) ski mask

### Answer: ","
C",C
9-521,Water can be boiled in a pot over a,"A) ice cube
B) car tire?
C) embers
D) bathtub
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Water can be boiled in a pot over a

### Choices: 
A) ice cube
B) car tire?
C) embers
D) bathtub

### Answer: ","
C",C
70,The easiest thing to break is,"A) a notebook
B) a pair of glasses
C) a wall
D) a hardcover book
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
The easiest thing to break is

### Choices: 
A) a notebook
B) a pair of glasses
C) a wall
D) a hardcover book

### Answer: ","
C",C
1952,"If you scrape an object, small pieces or particles may break off of the object; what's an example of this?","A) rubbing an emery board across your nail
B) rubbing a cloth over a counter
C) using a towel after you shower
D) wiping your chin after drinking some milk
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
If you scrape an object, small pieces or particles may break off of the object; what's an example of this?

### Choices: 
A) rubbing an emery board across your nail
B) rubbing a cloth over a counter
C) using a towel after you shower
D) wiping your chin after drinking some milk

### Answer: ","
A",A
582,"If John wants to save a little every month, what can he do to help with his water bill?","A) dripping the sink at night
B) taking a bath twice a day
C) flushing the toilet more
D) repairing all his pipes
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
If John wants to save a little every month, what can he do to help with his water bill?

### Choices: 
A) dripping the sink at night
B) taking a bath twice a day
C) flushing the toilet more
D) repairing all his pipes

### Answer: ","
C",C
8-24,"A hurricane is growing on the east coast, and it's coming off of the ocean, as they do. By the time the hurricane hits the east coast, it will have built up quite a bit, and this is because of","A) the salt from the ocean
B) the ocean being quite wet
C) seas have humidity from raised temperatures and fluid
D) the sea being cool and calm
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A hurricane is growing on the east coast, and it's coming off of the ocean, as they do. By the time the hurricane hits the east coast, it will have built up quite a bit, and this is because of

### Choices: 
A) the salt from the ocean
B) the ocean being quite wet
C) seas have humidity from raised temperatures and fluid
D) the sea being cool and calm

### Answer: ","
C",C
7-861,Bears dine on the some of the same things as,"A) plants
B) eukaryotes
C) apes
D) amoebas
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Bears dine on the some of the same things as

### Choices: 
A) plants
B) eukaryotes
C) apes
D) amoebas

### Answer: ","
C",C
9-605,"The air was cold, so all night the sheep kept","A) sleeping
B) shaking
C) jumping
D) running.
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
The air was cold, so all night the sheep kept

### Choices: 
A) sleeping
B) shaking
C) jumping
D) running.

### Answer: ","
C",C
8-265,"if a person smashes an object, and it cracks, is that good or bad?","A) it is always a positive thing to the object
B) the object fails to be impacted
C) all of these
D) the item suffers a negative impact
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
if a person smashes an object, and it cracks, is that good or bad?

### Choices: 
A) it is always a positive thing to the object
B) the object fails to be impacted
C) all of these
D) the item suffers a negative impact

### Answer: ","
C",C
8-492,What substance covers more than sixty nine percent of the third rock from the sun?,"A) Desert
B) Cities
C) Ocean
D) Forest
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What substance covers more than sixty nine percent of the third rock from the sun?

### Choices: 
A) Desert
B) Cities
C) Ocean
D) Forest

### Answer: ","
C",C
9-516,"When the acid spilled on the plant, the plant began to","A) smoke.
B) sing
C) flower
D) grow
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
When the acid spilled on the plant, the plant began to

### Choices: 
A) smoke.
B) sing
C) flower
D) grow

### Answer: ","
C",C
1096,"The teacher at the front of the classroom was reading from a laptop.  For a student in the middle of the class, the teacher's laptop looked larger than","A) the projector screen behind the teacher
B) a laptop held by a student walking outside the window
C) the student's own laptop
D) a neighboring student laptop
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
The teacher at the front of the classroom was reading from a laptop.  For a student in the middle of the class, the teacher's laptop looked larger than

### Choices: 
A) the projector screen behind the teacher
B) a laptop held by a student walking outside the window
C) the student's own laptop
D) a neighboring student laptop

### Answer: ","
C",C
8-427,"A herd of cattle is slowly making its way through a large field. The shepherd realizes that he forgot to bring grain for the cattle, yet the cattle will survive just fine in the field, because","A) they eat roughage
B) they hunt meat
C) they eat insects
D) they eat prey
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A herd of cattle is slowly making its way through a large field. The shepherd realizes that he forgot to bring grain for the cattle, yet the cattle will survive just fine in the field, because

### Choices: 
A) they eat roughage
B) they hunt meat
C) they eat insects
D) they eat prey

### Answer: ","
C",C
7-1066,An example of how melting is achieved is seen in,"A) cooking stew in a crockpot
B) using an oven to heat a pizza
C) using a stove to warm frozen vegetables
D) using a hairdryer to turn ice to water
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
An example of how melting is achieved is seen in

### Choices: 
A) cooking stew in a crockpot
B) using an oven to heat a pizza
C) using a stove to warm frozen vegetables
D) using a hairdryer to turn ice to water

### Answer: ","
B",B
7-1168,If a head is exceptionally round,"A) that is an unusual feature
B) most heads are round
C) a parent probably had a round head
D) there is fluid on the brain
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
If a head is exceptionally round

### Choices: 
A) that is an unusual feature
B) most heads are round
C) a parent probably had a round head
D) there is fluid on the brain

### Answer: ","
B",B
9-424,What action does sweat take once it forms?,"A) it contracts
B) it falls
C) it expands
D) it rises
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What action does sweat take once it forms?

### Choices: 
A) it contracts
B) it falls
C) it expands
D) it rises

### Answer: ","
C",C
7-872,On a cloudy day,"A) the clouds are thin
B) the sky is dark
C) the wind is strong
D) the sun is obscured
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
On a cloudy day

### Choices: 
A) the clouds are thin
B) the sky is dark
C) the wind is strong
D) the sun is obscured

### Answer: ","
C",C
8-294,"If the trees in an area are growing in soil rich with a certain vitamin, what might happen?","A) the vitamin would evaporate
B) the vitamin would leak back into the ground
C) the trees would mutate and die
D) the squirrels would have that vitamin in their system
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
If the trees in an area are growing in soil rich with a certain vitamin, what might happen?

### Choices: 
A) the vitamin would evaporate
B) the vitamin would leak back into the ground
C) the trees would mutate and die
D) the squirrels would have that vitamin in their system

### Answer: ","
C",C
7-529,"When a sound is produced inside a room, sometimes there is a","A) light
B) electric charge
C) delayed reflection
D) video
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
When a sound is produced inside a room, sometimes there is a

### Choices: 
A) light
B) electric charge
C) delayed reflection
D) video

### Answer: ","
C",C
7-629,Some birds find locations with,"A) landmarks
B) road signs
C) eggs
D) magnetic patterns
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Some birds find locations with

### Choices: 
A) landmarks
B) road signs
C) eggs
D) magnetic patterns

### Answer: ","
C",C
9-928,Freezing point refers to:,"A) the temperature below which gas turns to liquid
B) the temperature above which liquid stops being liquid
C) the temperature below which solid turns to liquid
D) the temperature below which liquid stops being liquid
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Freezing point refers to:

### Choices: 
A) the temperature below which gas turns to liquid
B) the temperature above which liquid stops being liquid
C) the temperature below which solid turns to liquid
D) the temperature below which liquid stops being liquid

### Answer: ","
C",C
8-337,"A girl wants to help to protect the environment, so she decides to","A) drive to work
B) quit her job
C) walk to work
D) visit a friend
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A girl wants to help to protect the environment, so she decides to

### Choices: 
A) drive to work
B) quit her job
C) walk to work
D) visit a friend

### Answer: ","
C",C
9-1107,storms can do what to seeds via high altitudes,"A) disperse them
B) plant them
C) destroy them
D) drown them
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
storms can do what to seeds via high altitudes

### Choices: 
A) disperse them
B) plant them
C) destroy them
D) drown them

### Answer: ","
C",C
7-329,Glacier melt,"A) is an effect of too many polar bears
B) is an effect of an abundance of CO2 in the environment
C) is an effect of deforestation
D) is an effect of oxygen saturation
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Glacier melt

### Choices: 
A) is an effect of too many polar bears
B) is an effect of an abundance of CO2 in the environment
C) is an effect of deforestation
D) is an effect of oxygen saturation

### Answer: ","
B",B
499,What is a renewable resource?,"A) Plastic
B) Metal
C) Concrete
D) Rain
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What is a renewable resource?

### Choices: 
A) Plastic
B) Metal
C) Concrete
D) Rain

### Answer: ","
D",D
7-555,Pulse rate increases,"A) the quicker the pace of a runner
B) when a person falls asleep
C) as a runner slows down
D) while holding yoga poses
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Pulse rate increases

### Choices: 
A) the quicker the pace of a runner
B) when a person falls asleep
C) as a runner slows down
D) while holding yoga poses

### Answer: ","
C",C
8-283,the earth's tilt controls the,"A) seasons
B) tides
C) sunset
D) clocks
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
the earth's tilt controls the

### Choices: 
A) seasons
B) tides
C) sunset
D) clocks

### Answer: ","
B",B
9-92,"A person wants to use raw materials to make things. Considering the want to create with raw materials, the person","A) makes books out of trees
B) makes rocks out of wood
C) makes corn out of dogs
D) makes fur out of tableclothes
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A person wants to use raw materials to make things. Considering the want to create with raw materials, the person

### Choices: 
A) makes books out of trees
B) makes rocks out of wood
C) makes corn out of dogs
D) makes fur out of tableclothes

### Answer: ","
C",C
8-385,"Generally, electricity cannot flow through","A) incomplete conductive paths
B) complete conductive paths
C) closed circuits
D) low-resistant electrons
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Generally, electricity cannot flow through

### Choices: 
A) incomplete conductive paths
B) complete conductive paths
C) closed circuits
D) low-resistant electrons

### Answer: ","
B",B
9-1156,"A screw will increase in temperature when set in the sun's path, why?","A) heating element
B) building device
C) conduction
D) convection
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A screw will increase in temperature when set in the sun's path, why?

### Choices: 
A) heating element
B) building device
C) conduction
D) convection

### Answer: ","
C",C
1333,Sleet is made out of water that is,"A) vapor
B) hot
C) liquid
D) cold
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Sleet is made out of water that is

### Choices: 
A) vapor
B) hot
C) liquid
D) cold

### Answer: ","
C",C
7-936,Replacing a natural resource can be,"A) refilling a lake that evaporated
B) planting a flower in a garden
C) growing a bush in a yard
D) planting a berry patch
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Replacing a natural resource can be

### Choices: 
A) refilling a lake that evaporated
B) planting a flower in a garden
C) growing a bush in a yard
D) planting a berry patch

### Answer: ","
C",C
1299,Humans contribute to environmental pollution,"A) by purchasing products made from recycled products
B) by switching to energy efficient appliances
C) by leaving behind refuse on public beaches
D) by frequently recycling paper and plastic
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Humans contribute to environmental pollution

### Choices: 
A) by purchasing products made from recycled products
B) by switching to energy efficient appliances
C) by leaving behind refuse on public beaches
D) by frequently recycling paper and plastic

### Answer: ","
C",C
641,Light that can burn skin is produced by a,"A) flashlight
B) laser
C) light bulb
D) fluorescent light
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Light that can burn skin is produced by a

### Choices: 
A) flashlight
B) laser
C) light bulb
D) fluorescent light

### Answer: ","
C",C
1191,Which is a source of raw materials?,"A) a power plant
B) a factory
C) a shopping mall
D) an oil field
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Which is a source of raw materials?

### Choices: 
A) a power plant
B) a factory
C) a shopping mall
D) an oil field

### Answer: ","
C",C
752,The most daylight is two months after,"A) October
B) July
C) January
D) April
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
The most daylight is two months after

### Choices: 
A) October
B) July
C) January
D) April

### Answer: ","
C",C
405,What separates animals that thrive and those that go extinct are,"A) the type of animal
B) lacking ability to conform
C) ability to stay in one place
D) the ability to adapt
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What separates animals that thrive and those that go extinct are

### Choices: 
A) the type of animal
B) lacking ability to conform
C) ability to stay in one place
D) the ability to adapt

### Answer: ","
D",D
7-885,"Energy may be transferred to an object without being plugged in, such as with","A) an electric grill
B) an electric stove
C) an electronic torch
D) a microwave oven
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Energy may be transferred to an object without being plugged in, such as with

### Choices: 
A) an electric grill
B) an electric stove
C) an electronic torch
D) a microwave oven

### Answer: ","
C",C
7-914,Ice wedging can be explained by pointing to,"A) roads in wintery areas need constant fixing after winter
B) houses are falling down soon
C) some trees split after they start to grow tall
D) ice is cold enough to kill
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Ice wedging can be explained by pointing to

### Choices: 
A) roads in wintery areas need constant fixing after winter
B) houses are falling down soon
C) some trees split after they start to grow tall
D) ice is cold enough to kill

### Answer: ","
C",C
319,What could a person eat to avoid starvation?,"A) Akvavit
B) Jeggings
C) Carmex
D) Floss
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What could a person eat to avoid starvation?

### Choices: 
A) Akvavit
B) Jeggings
C) Carmex
D) Floss

### Answer: ","
C",C
8-315,"A bird is about to lay an egg, so it needs to construct a safe, round place to place the egg in. The bird constructs using","A) sticks
B) gum
C) rocks
D) tape
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A bird is about to lay an egg, so it needs to construct a safe, round place to place the egg in. The bird constructs using

### Choices: 
A) sticks
B) gum
C) rocks
D) tape

### Answer: ","
C",C
1397,Birds go south to look for,"A) Vacation
B) Friends
C) Insurance
D) a different climate
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Birds go south to look for

### Choices: 
A) Vacation
B) Friends
C) Insurance
D) a different climate

### Answer: ","
B",B
1270,"When a predator population decreases in an environment, what happens to other populations?","A) prey numbers will boom
B) the amount of prey will go down
C) new predators will arrive
D) all populations will increase
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
When a predator population decreases in an environment, what happens to other populations?

### Choices: 
A) prey numbers will boom
B) the amount of prey will go down
C) new predators will arrive
D) all populations will increase

### Answer: ","
C",C
7-209,A television may turn on at the push of a button because,"A) the circuit has shorted out
B) the television is pretty short
C) the path of electricity is completed
D) the button was plastic
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A television may turn on at the push of a button because

### Choices: 
A) the circuit has shorted out
B) the television is pretty short
C) the path of electricity is completed
D) the button was plastic

### Answer: ","
C",C
9-309,the arctic area is full of,"A) white powder
B) ice cold drinks
C) warm water
D) fluffy white dirt
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
the arctic area is full of

### Choices: 
A) white powder
B) ice cold drinks
C) warm water
D) fluffy white dirt

### Answer: ","
C",C
1351,What is a way to be born besides live birth?,"A) coming through a tough shell
B) digging out of the sand
C) cooking up an egg
D) living in a nest
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
What is a way to be born besides live birth?

### Choices: 
A) coming through a tough shell
B) digging out of the sand
C) cooking up an egg
D) living in a nest

### Answer: ","
D",D
9-166,"if a man's new car can be charged at a charging station, what is this termed?","A) all of these
B) battery operated
C) getting energy
D) alternative fueling
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
if a man's new car can be charged at a charging station, what is this termed?

### Choices: 
A) all of these
B) battery operated
C) getting energy
D) alternative fueling

### Answer: ","
C",C
7-1142,If an environment experiences a long drought,"A) ponds may dry up and kill off the fish population
B) plants will continue to flourish
C) animals will experience a boom in reproduction
D) tadpoles will mature faster into frogs
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
If an environment experiences a long drought

### Choices: 
A) ponds may dry up and kill off the fish population
B) plants will continue to flourish
C) animals will experience a boom in reproduction
D) tadpoles will mature faster into frogs

### Answer: ","
B",B
9-357,"a student notices a large number of hawks in the playground, what will likely happen to the lizards?","A) they will flourish and thrive
B) their kind will dwindle
C) they will become predators
D) all of these
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
a student notices a large number of hawks in the playground, what will likely happen to the lizards?

### Choices: 
A) they will flourish and thrive
B) their kind will dwindle
C) they will become predators
D) all of these

### Answer: ","
C",C
9-78,When a plant is water the liquid goes from the soil area to where it is needed using what system?,"A) sprinkler
B) xylem
C) flowering pistols
D) leaves
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
When a plant is water the liquid goes from the soil area to where it is needed using what system?

### Choices: 
A) sprinkler
B) xylem
C) flowering pistols
D) leaves

### Answer: ","
B",B
7-338,A paper clip is often made of,"A) cobalt
B) wood
C) styrofoam
D) paper
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A paper clip is often made of

### Choices: 
A) cobalt
B) wood
C) styrofoam
D) paper

### Answer: ","
C",C
8-227,how much time does it take the third planet from the sun to make a full turn?,"A) 23 hours
B) twenty-one hours
C) twenty-four hours
D) 22 hours
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
how much time does it take the third planet from the sun to make a full turn?

### Choices: 
A) 23 hours
B) twenty-one hours
C) twenty-four hours
D) 22 hours

### Answer: ","
C",C
7-434,A moth can metamorphosize when,"A) it releases itself from a self-made chamber
B) it is entirely reborn
C) it is fully recreated
D) it becomes a winged creature
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A moth can metamorphosize when

### Choices: 
A) it releases itself from a self-made chamber
B) it is entirely reborn
C) it is fully recreated
D) it becomes a winged creature

### Answer: ","
C",C
9-486,"If something breathes, it","A) uses unusable byproduct
B) lives in trash
C) scraps unusable byproduct
D) moves around frequently
",C,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
If something breathes, it

### Choices: 
A) uses unusable byproduct
B) lives in trash
C) scraps unusable byproduct
D) moves around frequently

### Answer: ","
C",C
8-115,Which of the following can be found on the moon?,"A) Non-volcanic Mountains
B) Life-filled Oceans
C) Volcanic Mountains
D) Multiple Land Masses
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Which of the following can be found on the moon?

### Choices: 
A) Non-volcanic Mountains
B) Life-filled Oceans
C) Volcanic Mountains
D) Multiple Land Masses

### Answer: ","
C",C
7-1005,"When sugar is added to water, it blends in such as in which drink?","A) milk
B) lemonade
C) juice
D) tea
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
When sugar is added to water, it blends in such as in which drink?

### Choices: 
A) milk
B) lemonade
C) juice
D) tea

### Answer: ","
C",C
781,Tectonic plates move along,"A) planar fractures
B) error lines
C) triangular fractures
D) defect line
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
Tectonic plates move along

### Choices: 
A) planar fractures
B) error lines
C) triangular fractures
D) defect line

### Answer: ","
C",C
1547,During the time the moon orbits the Earth 13 times the Earth orbits the sun,"A) once
B) twice
C) three times
D) four times
",A,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
During the time the moon orbits the Earth 13 times the Earth orbits the sun

### Choices: 
A) once
B) twice
C) three times
D) four times

### Answer: ","
C",C
7-641,"During an earthquake, piles of earth can","A) crash through car windows
B) shift on top of one another
C) pile up on houses
D) kill small animals and birds
",B,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
During an earthquake, piles of earth can

### Choices: 
A) crash through car windows
B) shift on top of one another
C) pile up on houses
D) kill small animals and birds

### Answer: ","
C",C
800,"A long time ago, the Grand Canyon was","A) wider
B) deeper
C) grander
D) less deep
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
A long time ago, the Grand Canyon was

### Choices: 
A) wider
B) deeper
C) grander
D) less deep

### Answer: ","
C",C
9-48,In southern Africa we are more likely to see snow in,"A) January
B) November
C) March
D) July
",D,"### Instruction: Answer the following mulitple-choice question (A/B/C/D).

### Question:
In southern Africa we are more likely to see snow in

### Choices: 
A) January
B) November
C) March
D) July

### Answer: ","
C",C
